"nombre","monto","facturado","donador","metodo_pago","tipo_donacion"
"80 litros de leche","800.00","2021-11-30T06:00:00.000Z","Computadoras SA","Transferencia bancaria HSBC","Especie"
"10 botes de pintura blanca","7895.00","","Tecmis SA","Transferencia bancaria HSBC","Especie"
"60 pinceles","3655.00","","Tecmis SA","Tarjeta HSBC","Efectivo"
"6 botes con ruedas para la basura","5400.00","","Salmon SA","Transferencia bancaria HSBC","Especie"
"10 kit de primeros auxilios","3600.00","","Schroeder, Hackett and Monahan","Tarjeta HSBC","Efectivo"
"10 loncheras","400.00","","Durgan, Torp and Heller","Transferencia bancaria HSBC","Especie"
"100 despensas para evento de navidad","5000.00","","Elctriquesos SA","Transferencia bancaria HSBC","Especie"
"50 cajas de grapas","2000.00","","Salmon SA","Tarjeta HSBC","Efectivo"
"20 cajas de hojas","5000.00","","Elctriquesos SA","Transferencia bancaria HSBC","Especie"
"5 teclados de repuesto marca lenovo","1800.00","","Computadoras SA","Tarjeta HSBC","Efectivo"
"10 diademas para pc","1500.00","","Tecmis SA","Transferencia bancaria HSBC","Especie"
"10 teclados y mouse","2500.00","","Salmon SA","Transferencia bancaria HSBC","Especie"
"10 CPUS DELL mini","10500.00","","Elctriquesos SA","Tarjeta HSBC","Efectivo"
